path,extension,size_bytes,size_kb,size_mb
openvas_mongo_3.2/openvas_mongo_3.2_images.pdf,.pdf,2016673,1969.4072265625,1.9232492446899414
openvas_tleemcjr_metasploitable2/openvas_tleemcjr_metasploitable2.xml,.xml,1972448,1926.21875,1.881072998046875
openvas_polinux_snmpd/openvas_polinux_snmpd_images.pdf,.pdf,1959465,1913.5400390625,1.8686914443969727
openvas_registry_2/openvas_registry_2_images.pdf,.pdf,1903547,1858.9326171875,1.815363883972168
openvas_vault_0.9.0/openvas_vault_0.9.0_images.pdf,.pdf,1890618,1846.306640625,1.8030338287353516
openvas_influxdb_1.3/openvas_influxdb_1.3_images.pdf,.pdf,1890520,1846.2109375,1.8029403686523438
openvas_traefik_1.5/openvas_traefik_1.5_images.pdf,.pdf,1889652,1845.36328125,1.8021125793457031
openvas_ghcr.io_christophetd_log4shell-vulnerable-app/openvas_ghcr.io_christophetd_log4shell-vulnerable-app_images.pdf,.pdf,1879753,1835.6962890625,1.7926721572875977
openvas_tleemcjr_metasploitable2/openvas_tleemcjr_metasploitable2.pdf,.pdf,1839401,1796.2900390625,1.7541894912719727
openvas_fauria_vsftpd/openvas_fauria_vsftpd_images.pdf,.pdf,1673309,1634.0908203125,1.5957918167114258
openvas_heywoodlh_vulnerable/openvas_heywoodlh_vulnerable.xml,.xml,1555102,1518.654296875,1.4830608367919922
openvas_acgpiano_sqli-labs/openvas_acgpiano_sqli-labs_xml.json,.json,1552107,1515.7294921875,1.4802045822143555
openvas_rabbitmq_3.7-management/openvas_rabbitmq_3.7-management_images.pdf,.pdf,1529880,1494.0234375,1.4590072631835938
openvas_rabbitmq_3.6-management/openvas_rabbitmq_3.6-management_images.pdf,.pdf,1528048,1492.234375,1.4572601318359375
openvas_ianwijaya_hackazon/openvas_ianwijaya_hackazon.xml,.xml,1507587,1472.2529296875,1.4377470016479492
openvas_kirscht_metasploitable3-ub1404/openvas_kirscht_metasploitable3-ub1404.xml,.xml,1450978,1416.970703125,1.3837604522705078
openvas_ianwijaya_hackazon/openvas_ianwijaya_hackazon.pdf,.pdf,1442459,1408.6513671875,1.375636100769043
openvas_memcached_1.5/openvas_memcached_1.5_images.pdf,.pdf,1440645,1406.8798828125,1.373906135559082
openvas_heywoodlh_vulnerable/openvas_heywoodlh_vulnerable.pdf,.pdf,1428045,1394.5751953125,1.3618898391723633
openvas_zookeeper_3.4/openvas_zookeeper_3.4_images.pdf,.pdf,1373998,1341.794921875,1.3103466033935547
openvas_kirscht_metasploitable3-ub1404/openvas_kirscht_metasploitable3-ub1404.pdf,.pdf,1348111,1316.5146484375,1.285658836364746
openvas_cassandra_2.2/openvas_cassandra_2.2_images.pdf,.pdf,1320017,1289.0791015625,1.258866310119629
openvas_vulnerables_metasploit-vulnerability-emulator/openvas_vulnerables_metasploit-vulnerability-emulator_images.pdf,.pdf,1318868,1287.95703125,1.2577705383300781
openvas_wurstmeister_kafka_2.11-0.10.2.2/openvas_wurstmeister_kafka_2.11-0.10.2.2_images.pdf,.pdf,1314872,1284.0546875,1.2539596557617188
openvas_docker.bintray.io_jfrog_artifactory-oss_5.11.0/openvas_docker.bintray.io_jfrog_artifactory-oss_5.11.0_xml.json,.json,1169907,1142.4873046875,1.1157102584838867
openvas_citizenstig_nowasp/openvas_citizenstig_nowasp.xml,.xml,1129711,1103.2333984375,1.077376365661621
openvas_mediawiki_1.28/openvas_mediawiki_1.28_xml.json,.json,1100322,1074.533203125,1.0493488311767578
openvas_adamdoupe_wackopicko/openvas_adamdoupe_wackopicko.xml,.xml,1092388,1066.78515625,1.0417823791503906
openvas_raesene_bwapp/openvas_raesene_bwapp.xml,.xml,1092233,1066.6337890625,1.0416345596313477
openvas_hackersploit_bwapp-docker/openvas_hackersploit_bwapp-docker.xml,.xml,1091125,1065.5517578125,1.0405778884887695
openvas_citizenstig_nowasp/openvas_citizenstig_nowasp.pdf,.pdf,1010017,986.3447265625,0.9632272720336914
openvas_tleemcjr_metasploitable2/openvas_tleemcjr_metasploitable2.txt,.txt,998950,975.537109375,0.9526729583740234
openvas_hackersploit_bwapp-docker/openvas_hackersploit_bwapp-docker.pdf,.pdf,996954,973.587890625,0.9507694244384766
openvas_raesene_bwapp/openvas_raesene_bwapp.pdf,.pdf,995695,972.3583984375,0.9495687484741211
openvas_adamdoupe_wackopicko/openvas_adamdoupe_wackopicko.pdf,.pdf,993282,970.001953125,0.9472675323486328
openvas_mediawiki_1.27/openvas_mediawiki_1.27_xml.json,.json,939103,917.0927734375,0.8955984115600586
openvas_node_10/openvas_node_10_images.pdf,.pdf,922364,900.74609375,0.8796348571777344
openvas_andrius_asterisk/openvas_andrius_asterisk_images.pdf,.pdf,918935,897.3974609375,0.8763647079467773
openvas_node_6.14/openvas_node_6.14_images.pdf,.pdf,918923,897.3857421875,0.8763532638549805
openvas_python_3.6/openvas_python_3.6_images.pdf,.pdf,918713,897.1806640625,0.8761529922485352
openvas_python_3.5/openvas_python_3.5_images.pdf,.pdf,918635,897.1044921875,0.8760786056518555
openvas_python_2.7/openvas_python_2.7_images.pdf,.pdf,918552,897.0234375,0.8759994506835938
openvas_ruby_2.3/openvas_ruby_2.3_images.pdf,.pdf,918340,896.81640625,0.8757972717285156
openvas_solr_6.6/openvas_solr_6.6_images.pdf,.pdf,918242,896.720703125,0.8757038116455078
openvas_ruby_2.4/openvas_ruby_2.4_images.pdf,.pdf,918198,896.677734375,0.8756618499755859
openvas_fedora_28/openvas_fedora_28_images.pdf,.pdf,917937,896.4228515625,0.8754129409790039
openvas_debian_jessie/openvas_debian_jessie_images.pdf,.pdf,917813,896.3017578125,0.8752946853637695
openvas_node_6/openvas_node_6_images.pdf,.pdf,917766,896.255859375,0.8752498626708984
openvas_dolevf_dvga/openvas_dolevf_dvga_images.pdf,.pdf,917765,896.2548828125,0.875248908996582
openvas_node_8/openvas_node_8_images.pdf,.pdf,917613,896.1064453125,0.8751039505004883
openvas_debian_stretch/openvas_debian_stretch_images.pdf,.pdf,917564,896.05859375,0.8750572204589844
openvas_ubuntu_16.04/openvas_ubuntu_16.04_images.pdf,.pdf,917561,896.0556640625,0.8750543594360352
openvas_golang_1.9/openvas_golang_1.9_images.pdf,.pdf,917384,895.8828125,0.8748855590820312
openvas_alpine_3.7/openvas_alpine_3.7_images.pdf,.pdf,917362,895.861328125,0.8748645782470703
openvas_ubuntu_14.04/openvas_ubuntu_14.04_images.pdf,.pdf,917173,895.6767578125,0.8746843338012695
openvas_centos_6/openvas_centos_6_images.pdf,.pdf,917117,895.6220703125,0.8746309280395508
openvas_centos_7/openvas_centos_7_images.pdf,.pdf,917085,895.5908203125,0.8746004104614258
openvas_appsecco_dsvw/openvas_appsecco_dsvw_xml.json,.json,839574,819.896484375,0.8006801605224609
openvas_phpmyadmin_phpmyadmin_4.8/openvas_phpmyadmin_phpmyadmin_4.8_xml.json,.json,805900,787.01171875,0.7685661315917969
openvas_ianwijaya_hackazon/openvas_ianwijaya_hackazon.txt,.txt,796022,777.365234375,0.7591457366943359
